id,text,n_crop,n_disease,n_medicine
5-2,霜霉病/n_disease ，可用/v 啶氧菌酯/n_medicine 、/wn 唑/x 醚/n ·/w 霜脲氰/n_medicine 、/wn 唑/x 醚/n ·/w 代森联/n_medicine 、/wn 王铜/n_medicine ·/w 甲霜灵/n_medicine 、/wn 烯酰/n_medicine ·/w 嘧菌酯/n_medicine 、/wn 烯酰/n_medicine ·/w 丙森锌/n_medicine 防治/vn ,[],['霜霉病'],"['啶氧菌酯', '霜脲氰', '代森联', '王铜', '甲霜灵', '烯酰', '嘧菌酯', '烯酰', '丙森锌']"
5-3,不/d 是/vshi 病理/n 性病/n 害/ng ，使用/v 氨基酸/n_medicine 或/c 海藻酸/n_medicine 叶面肥/n_medicine 加云/n_new 台/n 素/ag 内/f 脂/w 喷雾/n_new 调理/v 一下/mq 。/wj ,[],[],"['氨基酸', '海藻酸', '叶面肥']"
6-1,根系受损/n_disease ,[],['根系受损'],[]
6-3,根系发育不良/n_disease 吸收能力/n_new 差/ng 造成/v 的/ude1 生理性/n_new 萎蔫/vi 。/wj 可/v 冲施/n_new 海藻酸/n_medicine 或/c 甲壳素/n_medicine 等/udeng ，改良土壤/n_new 、/wn 促根壮苗/n_new 。/wj ,[],['根系发育不良'],"['海藻酸', '甲壳素']"
7-1,是/vshi 疫病/n_disease ，用/p 银法利/nrf ，烯酰吗啉/n_medicine 喷雾/n_new 防治/vn 。/wj ,[],['疫病'],['烯酰吗啉']
7-2,疫病危害/n_disease 使用/v 银法利/nrf 或/c 克露/n_medicine 或/c 增威/nr 赢/v 绿/a 防治/vn ,[],['疫病危害'],['克露']
7-3,辣椒/n_crop 疫病/n_disease ，可用/v 烯酰/n_medicine ·/w 代森联/n_medicine 、/wn 唑/x 醚/n ·/w 代森联/n_medicine 、/wn 丙森/nr2 ·/w 霜脲氰/n_medicine 、/wn 霜霉威/n_medicine 、/wn 烯酰/n_medicine ·/w 嘧菌酯/n_medicine 、/wn 恶/a 酮/w ·/w 霜脲氰/n_medicine 防治/v ,['辣椒'],['疫病'],"['烯酰', '代森联', '代森联', '霜脲氰', '霜霉威', '烯酰', '嘧菌酯', '霜脲氰']"
8-1,日/b 灼/ag 。/wj 平衡/a 肥水/n 供应/vn ，幼果期/n_new 补硼/n_medicine 补钙/n_new 。/wj ,[],[],['补硼']
8-2,日/b 灼果/n_disease 叶面喷施/n_new 熬/v 合钙肥/n_medicine 缓解/n_new ,[],['灼果'],['合钙肥']
8-3,高温/n 日/ng 灼伤/n_disease 。/wj 可/v 选用/v 碧护/n_medicine 或/c 阿泰灵/nr 等/udeng 喷施/n_new 缓解/n_new ，并/cc 提高抗逆性/n_new 。/wj ,[],['灼伤'],['碧护']
9-1,根系吸收/n_new 不好/ad 缺素证/n_disease ，冲施/n_new 枯草芽孢杆菌/n_disease 养/v 根系/n 生根/vi ，叶面喷施/n_new 氨基酸/n_medicine 加/v 微量元素/nl 缓解/n_new 下/f ，7到/v 10天/qt 喷施/n_new 一次/qv ,[],"['缺素证', '枯草芽孢杆菌']",['氨基酸']
9-2,土壤环境/n_new 差/a 根系发育不良/n_disease 引起/v 的/ude1 ,[],['根系发育不良'],[]
9-3,这种/r 情况/n ，考虑/n_new 土壤环境/n_new 差/a ，根系发育不良导致/n_disease 建议/n 随/p 水/n 冲施/n_new 腐/vg 殖/w 酸/a +枯草芽孢杆菌/n_disease ，促进根系生长发育/n_new ，叶面喷施/n_new 碧护/n_medicine +磷酸二氢钾/n_medicine 调节/n_new 生长/vn ,[],"['根系发育不良导致', '枯草芽孢杆菌']","['碧护', '磷酸二氢钾']"
10-1,温度/n_new 不适/a 或/c 药害/n_new ，可/v 叶面喷施/n_new 碧护/n_medicine ，磷酸二氢钾/n_medicine 缓解/n_new ,[],[],"['碧护', '磷酸二氢钾']"
10-2,考虑/n_new 高温气害/n_disease ,[],['高温气害'],[]
11-1,高温/n 日/ng 灼/ag 或/c 疫病危害/n_disease ,[],['疫病危害'],[]
11-2,你好/n_new ，注意/v 炭疽病/n_disease ，防治/v 可用/a ，  42·8%氟菌/n_disease 肟菌酯/n_medicine 1500倍/q 液/ng   10%苯醚甲环唑/n_medicine 1500倍/q 液/ng   25%吡唑醚菌酯/n_medicine 1500倍/q 液/ng   75%肟菌戊唑醇/n_medicine 4000//w 6000倍/q 液/ng   45%咪鲜胺/n_medicine 750//w 1000倍/q 液/ng   22·5%啶氧菌酯/n_medicine ，也/d 可以/n_new 用/v 咪鲜胺/n_medicine 丙森锌/n_medicine ，咪鲜胺/n_medicine 异菌脲/n_medicine ，吡唑醚菌酯/n_medicine 。/wj 结合/v 二氢/n 钾/n 或者/c 氨基酸叶面肥/n_medicine 交替用药/n_new ,[],"['炭疽病', '氟菌']","['肟菌酯', '苯醚甲环唑', '吡唑醚菌酯', '肟菌戊唑醇', '咪鲜胺', '啶氧菌酯', '咪鲜胺', '丙森锌', '咪鲜胺', '异菌脲', '吡唑醚菌酯', '氨基酸叶面肥']"
11-3,炭疽病/n_disease -/wp 椒/ng 类/n ；/wf 病害表现/n_disease ：/wp ★/w ；/wf 防治方法/n_new ：/wp 选用/v 醚菌酯/n_medicine 、/wn 咪鲜胺/n_medicine 、/wn 肟/w 菌/n ·/w 戊唑醇/n_medicine 、/wn 精/a 甲霜·锰锌/n_medicine 、/wn 苯醚甲环唑/n_medicine 、/wn 氟硅唑/n_medicine 、/wn 已/d 唑/x 醇/ag 、/wn 丙森锌/n_medicine 、/wn 烯唑醇/n_medicine 、/wn 乙嘧酚/n_medicine 、/wn 恶/a 唑菌酮/n_medicine 。/wj 推荐/v 用/p 醚菌酯/n_medicine ＋/w 肟/w 菌/n ·/w 戊唑醇/n_medicine ，或/c 精/a 甲霜·锰锌/n_medicine ＋/w 咪鲜胺/n_medicine ，或/c 嘧菌酯/n_medicine ＋/w 苯醚甲环唑/n_medicine 复配/n_new 喷洒/v 。/wj ,[],"['炭疽病', '病害表现']","['醚菌酯', '咪鲜胺', '戊唑醇', '锰锌', '苯醚甲环唑', '氟硅唑', '丙森锌', '烯唑醇', '乙嘧酚', '唑菌酮', '醚菌酯', '戊唑醇', '锰锌', '咪鲜胺', '嘧菌酯', '苯醚甲环唑']"
12-1,温度/n_new 不适/a ，叶面喷施/n_new 碧护/n_medicine 或/c 芸苔素内酯/n_medicine 缓解/n_new 。/wj ,[],[],"['碧护', '芸苔素内酯']"
12-2,多/ad 考虑/n_new ，天气变化/n_new 。/wj 温度/n_new 不适/a ，根系吸收/n_new 不良/a ，或者/c 用药/n_new ，导致/v 生理性/n_new 症状/n ，可用/v 生物菌肥/n_medicine 灌根/n_new 养根/n_new ，叶面/n 芸苔素内酯/n_medicine 喷雾/n_new 缓解/n_new ,[],[],"['生物菌肥', '芸苔素内酯']"
12-3,肥害/n_disease 或/c 药害/n_new 等/udeng 外力/n 损伤造成/n_new 的/ude1 ，不/d 是/vshi 病菌/n 性病/n 害/n 。/wj 可/v 选用/v 碧护/n_medicine 或/c 阿泰灵/nr 等/udeng 喷施/n_new 缓解/n_new 。/wj ,[],['肥害'],['碧护']
13-1,脐腐病/n_disease ，缺钙/n_disease 引起/v ，叶面喷施/n_new 螯合钙/n_medicine 。/wj ,[],"['脐腐病', '缺钙']",['螯合钙']
13-2,辣椒/n_crop 脐腐病/n_disease ，  缺钙/n_disease 所/usuo 造成/v 的/ude1   生理性病害/n_disease 。/wj 在/p 开花结果/vl 期间/f ，叶面喷施/n_new 螯合钙/n_medicine 、/wn 氨基酸/n_medicine 钙/n 或者/c 糖醇钙/n_medicine 加/b 氨基酸叶面肥/n_medicine 加芸/nr2 苔/ng 素/ag ，能/v 明显/ad 减轻/v 脐腐病/n_disease 的/ude1 发生/vn 和/cc 危害/vn 。/wj ,['辣椒'],"['脐腐病', '缺钙', '生理性病害', '脐腐病']","['螯合钙', '氨基酸', '糖醇钙', '氨基酸叶面肥']"
13-3,您好/n_new ，脐腐病/n_disease ，脐腐病/n_disease 主要/d 是/vshi 缺钙/n_disease 引起/v 的/ude1 ，用/p 活性/b 硝酸钙/n_medicine 根/n 施/v ，叶面/n 用/p 氨基酸/n_medicine 加螯/n_new 合/v 钙/n 喷雾/n_new 。/wj ,[],"['脐腐病', '脐腐病', '缺钙']","['硝酸钙', '氨基酸']"
14-1,日/ng 灼/vg 斑/n ，叶面喷施/n_new 螯合钙/n_medicine 缓解/n_new 。/wj ,[],[],['螯合钙']
14-2,高温/n 日/ng 灼果/n_disease ,[],['灼果'],[]
15-3,可以/n_new 喷施防治/n_new 细菌性叶斑病/n_disease 、/wn 青枯病/n_disease 、/wn 病毒病/n_disease 等/udeng 。/wj ,[],"['细菌性叶斑病', '青枯病', '病毒病']",[]
16-1,霜霉病/n_disease ，用/v 烯酰吗啉/n_medicine ，腈/w 菌/n 锰锌/n_medicine ，霉/vi 多克/q ，抑/vg 快/a 净/a ，吡唑醚菌酯/n_medicine ，氟/n 吗/y 锰锌/n_medicine ，烯酰/n_medicine 锰锌/n_medicine ，氰霜唑/n_medicine 喷雾/n_new 防治/vn 。/wj ,[],['霜霉病'],"['烯酰吗啉', '锰锌', '吡唑醚菌酯', '锰锌', '烯酰', '锰锌', '氰霜唑']"
16-2,霜霉病/n_disease 危害/v 使用/v 银法利/nrf 或/c 克露/n_medicine 或/c 增威/nr 赢/v 绿/a 防治/vn ,[],['霜霉病'],['克露']
16-3,你好/n_new ，注意/v 霜霉病/n_disease 危害/vn ，防治方法/n_new ：/wp 可/v 用/v   杀毒矾/n_medicine 600//w 800倍/q 液/ng   80%烯酰吗啉/n_medicine 4000//w 5000倍/q 液/ng   霜霉威盐酸盐/n_medicine 66·5%水/n 剂/q 70//w 110毫升/q 每亩/r   抑/vg 快/a 净/a 2000//w 2500倍/q 液/ng 喷雾/n_new   氟菌/n_disease 霜霉威/n_medicine 银法利/nrf 600//w 800倍/q 液/ng 喷雾/n_new   72%霜脲锰锌/n_medicine 600//w 800倍/q 液/ng 喷雾/n_new   69%烯酰/n_medicine 锰锌/n_medicine 600//w 800倍/q 液/ng   58%甲/Mg 霜/n 锰锌/n_medicine 500//w 700倍/q 液/ng ，此/rzs 病/n 高/a 湿/a 诱发/vn ，注意/v 关注/v 天气变化/n_new ，交替用药/n_new 。/wj ,[],"['霜霉病', '氟菌']","['杀毒矾', '烯酰吗啉', '霜霉威盐酸盐', '霜霉威', '霜脲锰锌', '烯酰', '锰锌', '锰锌']"
17-1,疫病/n_disease 和/cc 炭疽病/n_disease 为害/v ，用/p 银法利/nrf 和/cc 苯甲溴菌腈/n_medicine 喷雾/n_new 防治/vn 。/wj ,[],"['疫病', '炭疽病']",['苯甲溴菌腈']
17-2,辣椒/n_crop 疫病危害/n_disease ，可/c 选用/v 10%氰霜唑/n_medicine 悬浮剂/n 200倍/q 液/ng 、/wn 58%精/a 甲霜·锰锌/n_medicine 可/v 湿性粉剂/n_medicine 600倍/q 液/ng 等/udeng 喷施防治/n_new 。/wj ,['辣椒'],['疫病危害'],"['氰霜唑', '锰锌', '湿性粉剂']"
17-3,疫病危害/n_disease 使用/v 银法利/nrf 或/c 克露/n_medicine 或/c 增威/nr 赢/v 绿/a 防治/vn ,[],['疫病危害'],['克露']
18-1,高温/n 日/ng 灼/ag 或/c 疫病危害/n_disease 使用/v 碧护/n_medicine +鳌合钙/n_medicine +银/ng 法利/nrf 防治/v ,[],['疫病危害'],"['碧护', '鳌合钙']"
18-2,辣椒/n_crop 脐腐病/n_disease 危害/vn ，生理性/n_new 缺钙/n_disease 造成/v 的/ude1 。/wj 建议控制/n_new 氮/n 、/wn 钾肥/n_medicine 施用/v 量/n ，以防/v 影响钙/n_new 的/ude1 吸收/vn 与/cc 运转/vi 。/wj 喷施/n_new 糖醇钙/n_medicine 、/wn 氨基酸/n_medicine 钙/n 等/udeng 防治/vn 。/wj ,['辣椒'],"['脐腐病', '缺钙']","['钾肥', '糖醇钙', '氨基酸']"
18-3,日/ng 灼/vg 斑/n ，用/p 螯合钙/n_medicine 和/cc 碧护/n_medicine 喷雾/n_new 防治/vn 。/wj ,[],[],"['螯合钙', '碧护']"
19-1,温度/n_new 不适/a 、/wn 药害/n_new 、/wn 授粉/vn 不良/a 等/udeng 导致/v ，平衡/a 水肥/n ，避免/v 偏施氮肥/n_medicine ，可用/v 枯草芽孢杆菌/n_disease 灌根/n_new ，叶面喷施/n_new 速乐硼/n_medicine 、/wn 螯合钙/n_medicine 、/wn 磷酸二氢钾/n_medicine 调理/v ,[],['枯草芽孢杆菌'],"['偏施氮肥', '速乐硼', '螯合钙', '磷酸二氢钾']"
19-2,图/n 1是/vshi 授粉/vi 不良/a 造成/v 的/ude1 僵果/n_disease 。/wj 图/n 2是/vshi 药害/n_new ，可/c 选用/v 碧护/n_medicine 或/c 阿泰灵/nr 等/udeng 喷施/n_new 缓解/n_new 。/wj ,[],['僵果'],['碧护']
20-1,霜霉病/n_disease 危害/vn ，建议选用/n_new 68·75%霜霉威/n_medicine 盐/n ·/w 氟/n 吡/w 菌胺/n_medicine 悬浮液/n_new 剂/ng 800倍/q 液/ng 、/wn 50%烯酰吗啉/n_medicine 可/v 湿性粉剂/n_medicine 1000倍/q 液/ng 等/udeng 喷施防治/n_new 。/wj ,[],['霜霉病'],"['霜霉威', '菌胺', '烯酰吗啉', '湿性粉剂']"
20-2,霜霉病/n_disease 用/p 先正/nr2 达瑞凡/nr ，双炔酰菌胺/n_medicine 1500-/wp 2000倍/q 液/ng 先/d 正/d 达/v 金/b 雷/n ，精/a 甲/n 霜/n 锰锌/n_medicine 100-/wp 120克/q //w 亩/q 先/d 正/d 达/v 杀毒矾/n_medicine ，杀毒矾/n_medicine 恶霜灵/n_medicine +代森锰锌/n_medicine 200-/wp 250克/q //w 亩/q 杜邦/nrf 克露/n_medicine ，霜脲锰锌/n_medicine 100-/wp 150克/q //w 亩/q 杜邦/nrf 增/v 威/ng 赢/v 绿/a 2000-/wp 3000倍/q 液/ng 拜耳/nrf 银法利/nrf 60-/wp 75克/q //w 亩/q ,[],['霜霉病'],"['双炔酰菌胺', '锰锌', '杀毒矾', '杀毒矾', '恶霜灵', '代森锰锌', '克露', '霜脲锰锌']"
20-3,霜霉病/n_disease ，在/p 发病初期/n_disease 选用/v 60％百泰/b WP1500/x －/wp 2000倍/q ，用/p 52·5％抑/vg 快/a 净/a WG2500/x 倍/q 或/c 66·8％霉/n 多克/q WP600/x －/wp 800倍/q ，68％金雷多米尔/nrf WG1000/x 倍/q 或/c 64％杀毒矾/n_medicine WG500/x －/wp 600倍/q ，50％安克/nrf WP2000/x －/wp 2500倍/q 或/c 72％克露/n_medicine 1200倍/q ，68·75％银法利/nrf SC750/x 倍/q 或/c 80％疫/ng 霜灵/n_medicine WP600/x －/wp 400倍/q ，5％科佳/nrf 2000倍/q 或/c 25％阿米西达/nrf SC1500/x 倍/q 25％凯润/nr2 EC2000/x 倍/q ，72·2％普力克/n_medicine AS800/x 倍/q 或/c 25％甲霜灵/n_medicine WP500/x 倍/q ,[],"['霜霉病', '发病初期']","['杀毒矾', '克露', '霜灵', '普力克', '甲霜灵']"
21-1,有/vyou 可能/n_new 是/vshi 青枯病/n_disease ，用/p 中/f 生菌素/n_medicine ，叶枯唑/n_medicine ，噻唑锌/n_medicine 灌/v 墩/ng 。/wj ,[],['青枯病'],"['生菌素', '叶枯唑', '噻唑锌']"
21-2,注意/v 青枯病/n_disease ，可用/v 春雷/n 喹啉铜/n_medicine ，叶枯唑/n_medicine ，乙蒜素/n_medicine ，嘧霉胺/n_medicine ，苯/n 甲/n 中/f 生/v ，噻菌铜/n_medicine ，春雷霉素/n_medicine ，喹啉铜/n_medicine 防治/vn ,[],['青枯病'],"['喹啉铜', '叶枯唑', '乙蒜素', '嘧霉胺', '噻菌铜', '春雷霉素', '喹啉铜']"
21-3,青枯病/n_disease 危害/vn 症状/n 建议使用/n_new 噻唑锌/n_medicine 或/c 乙蒜素/n_medicine 或/c 中/f 生菌素/n_medicine 或/c 喹啉铜/n_medicine 、/wn 络氨铜/n_medicine 喷施防治/n_new ,[],['青枯病'],"['噻唑锌', '乙蒜素', '生菌素', '喹啉铜', '络氨铜']"
22-1,温度/n_new 不适/a 或/c 根系/n 弱/a 吸收/v 不好/ad 导致/v ，可用/v 腐植酸/n_medicine ，枯草芽孢杆菌/n_disease 灌根/n_new ，促进根系生长/n_new ，叶面喷施/n_new 碧护/n_medicine ，磷酸二氢钾/n_medicine 缓解/n_new ,[],['枯草芽孢杆菌'],"['腐植酸', '碧护', '磷酸二氢钾']"
22-2,考虑温度不适/n_new 或/c 土壤盐渍化/n_disease 严重/a ，根系发育不良/n_disease 及/cc 缺素/n_disease 导致/v 症状/n 建议/n 用/v 腐植酸/n_medicine +甲霜恶霉灵/n_medicine +枯草芽孢杆菌/n_disease 灌根/n_new 改良土壤环境/n_new ，起/vf 到/v 养根/n_new 、/wn 护/v 根/n 、/wn 促进根系生长发育/n_new ，结合叶面/n_new 用/v 碧护/n_medicine +磷酸二氢钾/n_medicine +中/f 微量元素/nl 喷施/n_new 缓解/n_new 此/rzs 症状/n ,[],"['土壤盐渍化', '根系发育不良', '缺素', '枯草芽孢杆菌']","['腐植酸', '甲霜恶霉灵', '碧护', '磷酸二氢钾']"
22-3,土壤环境/n_new 差/a 根系发育不良/n_disease 冲施/n_new 腐/vg 殖/w 酸/a 枯草芽孢杆菌/n_disease ,[],"['根系发育不良', '枯草芽孢杆菌']",[]
23-1,炭疽病/n_disease 危害/vn ，叶/ng 喷/v 苯/n 嘧/x 甲/n 环唑/n_medicine 或/c 氟硅唑/n_medicine 加/v 噻菌铜/n_medicine 防治/vn 。/wj ,[],['炭疽病'],"['环唑', '氟硅唑', '噻菌铜']"
23-2,缺硼/n_disease 造成/v 的/ude1 。/wj 可/v 喷施/n_new 糖/n 醇/ag 硼/n 或/c 速乐硼/n_medicine 防治/vn 。/wj ,[],['缺硼'],['速乐硼']
23-3,似/vg 炭疽病/n_disease ，用/p 苯醚甲环唑/n_medicine ，吡唑醚菌酯/n_medicine ，咪鲜胺/n_medicine ，溴菌腈/n_medicine 等/v 防治/vn 。/wj ,[],['炭疽病'],"['苯醚甲环唑', '吡唑醚菌酯', '咪鲜胺', '溴菌腈']"
24-1,高温烫伤/n_disease ，氨基酸/n_medicine +钙/n 喷施/n_new ,[],['高温烫伤'],['氨基酸']
24-3,高温/n 日/ng 灼果/n_disease ，注意/v 硼/n 肥/a 钙肥/n 补充/vn 补充/vn ,[],['灼果'],[]
25-1,考虑温度不适/n_new 引起/v 的/ude1 生理性病害/n_disease 或者/c 用药不当/n_disease 引起/v 的/ude1 药害/n_new ，叶面喷施/n_new 磷酸二氢钾/n_medicine 加/b 氨基酸叶面肥/n_medicine 加芸/nr2 苔/ng 素/ag 或者/c 碧护/n_medicine 缓解/n_new ,[],"['生理性病害', '用药不当']","['磷酸二氢钾', '氨基酸叶面肥', '碧护']"
25-2,温度/n_new 不适/a 或/c 用药不当/n_disease 引起/v ，可/c 喷施/n_new 氨基酸/n_medicine ＋/w 磷酸二氢钾/n_medicine ，碧护/n_medicine 或/c 芸苔素内酯/n_medicine 可/v 缓解/n_new ,[],['用药不当'],"['氨基酸', '磷酸二氢钾', '碧护', '芸苔素内酯']"
25-3,根系发育不良/n_disease 吸收能力/n_new 差/ng 造成/v 的/ude1 生理性/n_new 卷叶/n_disease 。/wj 建议/n 冲施/n_new 海藻酸/n_medicine 或/c 甲壳素/n_medicine 等/udeng ，改良土壤/n_new 、/wn 促根壮苗/n_new 。/wj ,[],"['根系发育不良', '卷叶']","['海藻酸', '甲壳素']"
26-1,夜蛾类/n_disease 幼虫/n 危害/vn ，可以/n_new 使用/v 虫螨腈/n_medicine ，四氯/n 虫/n 酰胺/n_medicine ，茚虫威/n_medicine ，氯虫苯甲酰胺/n_medicine ，苏云金杆菌/n_medicine ，康宽/nr 等/v 复配/n_new 甲/Mg 维/q 盐/n 交替使用/n_new 喷雾/n_new 防治/vn 。/wj ,[],['夜蛾类'],"['虫螨腈', '酰胺', '茚虫威', '氯虫苯甲酰胺', '苏云金杆菌']"
26-2,夜蛾/n_disease 用/v 甲/Mg 维/q 盐/n 茚虫威/n_medicine 康/ag 宽/a 虫螨腈/n_medicine ,[],['夜蛾'],"['茚虫威', '虫螨腈']"
26-3,夜蛾类/n_disease ，虫/n 酰胺/n_medicine 1500倍/q ，5％甲/Mg 维/q 盐/n EC/x （/wkz 甲/Mg 胺/n 基/ng 阿维菌素/n_medicine 苯甲酸/n 盐/n ）/wky 1500倍/q ，5％除/p 尽/vi EC2000/x －/wp 1500倍/q 或/c 普/ag 尊/vg EC2000/x －/wp 3000倍/q ，5％美/b 除/p EC1500/x 倍/q 或/c 5％卡/n 死/v 克/q DC1200/x －/wp 1500倍/q ，15％安/ag 打/v SC2000/x 倍/q 或/c 24％米/q 满/a SC2000/x －/wp 2500倍/q ，奥/b 绿/a 1号/q 1000－/wp 1500倍/q ，5％农梦特/nrf EC2000/x 倍/q 或/c 1·6万BT/x 可/v 湿性粉剂/n_medicine ,[],['夜蛾类'],"['酰胺', '阿维菌素', '湿性粉剂']"
27-1,细菌性软腐病/n_disease 危害/vn ，建议选用/n_new 内/f 吸/v 性/ng 杀菌剂/n_medicine 噻唑锌/n_medicine 、/wn 乙蒜素/n_medicine 、/wn 氯溴异氰尿酸/n_medicine 等/udeng 喷施防治/n_new 。/wj ,[],['细菌性软腐病'],"['杀菌剂', '噻唑锌', '乙蒜素', '氯溴异氰尿酸']"
27-2,你好/n_new ，注意/v 疫病/n_disease ，防治/v 可用/v 烯酰吗啉/n_medicine ，氟吗啉/n_medicine ，霜霉威盐酸盐/n_medicine ，霜脲锰锌/n_medicine ，甲/Mg 霜/n 锰锌/n_medicine ，增威/nr2 赢/v 绿/an ，银法利/nrf ，氰霜唑/n_medicine 防治/vn ,[],['疫病'],"['烯酰吗啉', '氟吗啉', '霜霉威盐酸盐', '霜脲锰锌', '锰锌', '氰霜唑']"
27-3,疫病/n_disease ，72·2％普力克/n_medicine AS600/x 倍/q 77％可杀得/n_medicine WP1000/x 倍/q 20％噻/w 森/ag 铜/n SC500/x 倍/q 灌根/n_new 中心/n 周边/n 植株/n 或/c 5％科佳/nrf 1500倍/q ，66·8％霉/n 多克/q WP600/x 倍/q 或/c 50％安克/nrf WP2000/x 倍/q 50％施/v 得益/vi WP500/x －/wp 600倍/q 百泰/b EC1000/x 倍/q ，52·5％抑/vg 快/a 净/a WG2000/x －/wp 3000倍/q ，40％疫/ng 霜灵/n_medicine WP400/x 倍/q 或/c 72％克露/n_medicine WP1000/x 倍/q 25％凯润/nr2 EC2000/x 倍/q ，64％杀毒矾/n_medicine WP600/x 倍/q 或/c 86·2％铜/n 大师/n WP2000/x 倍/q 或/c 80％疫/ng 霜灵/n_medicine WP700/x 倍/q ，68％金雷多米尔/nrf WP1000/x 倍/q ,[],['疫病'],"['普力克', '可杀得', '霜灵', '克露', '杀毒矾', '霜灵']"
28-1,可以/n_new 喷施防治/n_new 疫病危害/n_disease 。/wj 银法利/nrf 或/c 增威/nr 赢/v 绿/an 喷施防治/n_new 效果/n 较/d 好/a 。/wj ,[],['疫病危害'],[]
28-3,疫病/n_disease 用/v 烯酰吗啉/n_medicine 霜霉威/n_medicine ，抑/vg 快/a 净/a ,[],['疫病'],"['烯酰吗啉', '霜霉威']"
29-1,疫病危害/n_disease ，建议选用/n_new 68·75%霜霉威/n_medicine 盐/n ·/w 氟/n 吡/w 菌胺/n_medicine 悬浮液/n_new 剂/ng 800倍/q 液/ng 、/wn 50%烯酰吗啉/n_medicine 可/v 湿性粉剂/n_medicine 1000倍/q 液/ng 等/udeng 喷施防治/n_new 。/wj ,[],['疫病危害'],"['霜霉威', '菌胺', '烯酰吗啉', '湿性粉剂']"
29-2,高温/n 日/ng 灼/ag 或/c 疫病危害/n_disease ,[],['疫病危害'],[]
29-3,注意/v 疫病/n_disease 用/v 烯酰吗啉/n_medicine 霜霉威/n_medicine 防治/v ,[],['疫病'],"['烯酰吗啉', '霜霉威']"
30-1,炭疽病/n_disease 危害/vn ，建议选用/n_new 苯醚甲环唑/n_medicine 、/wn 溴菌腈/n_medicine 、/wn 咪鲜胺/n_medicine 、/wn 啶氧菌酯/n_medicine 等/udeng 喷施防治/n_new 。/wj ,[],['炭疽病'],"['苯醚甲环唑', '溴菌腈', '咪鲜胺', '啶氧菌酯']"
30-2,是/vshi 炭疽病/n_disease ，用/p 苯醚甲环唑/n_medicine ，吡唑醚菌酯/n_medicine ，咪鲜胺/n_medicine ，溴菌腈/n_medicine 等/v 防治/vn 。/wj ,[],['炭疽病'],"['苯醚甲环唑', '吡唑醚菌酯', '咪鲜胺', '溴菌腈']"
